Wall time,Step,Value
1734418568.6747782,298096,28.0
1734418570.0796165,300352,52.0
1734418570.7503781,301408,48.0
1734418571.3327227,302176,32.0
1734418574.7488437,304560,36.0
1734418575.1179607,305072,48.0
1734418575.1775525,305152,48.0
1734418575.6349752,305824,32.0
1734418576.623276,307424,32.0
1734418584.279363,315824,72.0
1734418584.4336398,316096,64.0
1734418586.4507291,319136,36.0
1734418589.0534468,320368,28.0
1734418589.443618,320928,52.0
1734418590.3909554,322448,32.0
1734418592.603512,325712,44.0
1734418593.6046872,327216,32.0
1734418600.4164543,329968,28.0
1734418601.397984,331600,52.0
1734418602.6622689,333456,32.0
1734418608.0026212,338928,52.0
1734418609.252041,340720,48.0
1734418609.5353522,340992,44.0
1734418613.2055426,344336,36.0
1734418614.2484827,346304,36.0
1734418615.075894,347776,64.0
1734418615.2134192,348032,40.0
1734418615.4750326,348512,60.0
1734418620.0601313,353168,68.0
1734418620.1428628,353328,48.0
1734418620.8998914,354656,36.0
1734418621.2020485,355200,56.0
1734418622.9275568,358256,60.0
1734418623.9215012,359984,48.0
1734418626.8060524,361680,48.0
1734418628.497177,364736,52.0
1734418634.0404544,371088,68.0
1734418635.7707326,374112,44.0
1734418636.4957306,375344,76.0
1734418636.5463746,375424,64.0
1734418637.2757387,376656,64.0
1734418639.4299433,377024,48.0
1734418641.034783,380048,60.0
1734418641.183677,380304,64.0
1734418642.9783263,383376,48.0
1734418650.4398148,392592,52.0
1734418650.6522279,392960,60.0
1734418653.469141,394352,28.0
1734418655.337173,397536,68.0
1734418656.3070173,399232,76.0
1734418660.1805873,402512,72.0
1734418660.8579626,403792,52.0
1734418661.8725803,405584,52.0
1734418677.553408,409712,24.0
1734418677.7883508,410128,80.0
1734418678.1846044,410816,48.0
1734418680.4215317,414112,24.0
1734418681.4787161,415760,32.0
1734418682.154989,417088,64.0
1734418684.3845422,418000,40.0
1734418689.1496134,425808,80.0
1734418693.392112,429264,64.0
1734418699.7242715,437360,36.0
1734418700.5980399,438912,80.0
1734418705.3846412,443888,48.0
1734418708.8540585,449664,60.0
1734418709.1327996,450192,104.0
1734418714.6554642,456832,100.0
1734418714.7751663,457040,52.0
1734418715.4756544,458272,56.0
1734418719.3484554,461792,80.0
1734418719.7150104,462432,64.0
1734418720.8495839,464432,44.0
1734418725.590831,469376,56.0
1734418726.1059675,470320,28.0
1734418726.5491493,471120,64.0
1734418727.1912315,472272,36.0
1734418727.6483152,473072,40.0
1734418731.0129654,475616,48.0
1734418732.4973118,478304,72.0
1734418732.525836,478352,72.0
1734418733.2521825,479600,64.0
1734418734.5403175,481840,28.0
1734418737.3470573,483344,56.0
1734418737.6277864,483840,52.0
1734418739.3296375,487024,28.0
1734418739.4702864,487264,68.0
1734418740.620921,489232,76.0
1734418740.7902935,489536,76.0
1734418741.4981363,490752,60.0
1734418741.6466851,491008,56.0
1734418741.6906676,491072,32.0
1734418744.9030604,493440,68.0
1734418745.1154907,493824,48.0
1734418745.763846,494976,60.0
1734418748.170769,499136,80.0
1734418750.792764,500384,56.0
1734418751.0608208,500864,60.0
1734418753.498458,505280,92.0
1734418753.5457551,505360,76.0
1734418753.565566,505392,28.0
1734418757.6513357,509200,40.0
1734418765.1340525,519232,84.0
1734418766.9955146,522528,32.0
1734418767.9070263,524080,80.0
1734418770.8018408,525728,40.0
1734418771.0588357,526208,52.0
1734418771.6862974,527360,88.0
1734418772.1317434,528160,52.0
1734418776.994905,533296,68.0
1734418777.8402567,534880,32.0
1734418778.2661605,535680,84.0
1734418781.034099,540176,64.0
1734418787.1237016,547328,68.0
1734418796.814704,553424,60.0
1734418796.9716923,553664,52.0
1734418798.5078516,556064,80.0
1734418801.577691,557808,68.0
1734418805.0666778,564000,52.0
1734418807.9269052,565648,92.0
1734418808.0441866,565856,80.0
1734418808.5293946,566752,28.0
1734418809.9503603,569296,44.0
1734418812.3288562,573360,80.0
1734418814.3866208,573552,48.0
1734418814.8546982,574384,32.0
1734418818.4699259,579952,48.0
1734418822.161429,583376,48.0
1734418826.033806,589376,48.0
1734418831.9519563,596992,48.0
1734418834.9874947,599024,40.0
1734418837.5606637,603024,64.0
1734418838.95925,605680,88.0
1734418843.8390949,610512,44.0
1734418844.6032794,611840,96.0
1734418848.009872,614624,28.0
1734418851.6475165,619920,56.0
1734418852.6009254,621296,100.0
1734418855.7570136,622960,64.0
