mean_score,total_steps,std_score,max_score,min_score
28.0,505392,0.0,28.0,28.0
40.0,509200,0.0,40.0,40.0
84.0,519232,0.0,84.0,84.0
32.0,522528,0.0,32.0,32.0
80.0,524080,0.0,80.0,80.0
40.0,525728,0.0,40.0,40.0
52.0,526208,0.0,52.0,52.0
88.0,527360,0.0,88.0,88.0
52.0,528160,0.0,52.0,52.0
68.0,533296,0.0,68.0,68.0
32.0,534880,0.0,32.0,32.0
84.0,535680,0.0,84.0,84.0
64.0,540176,0.0,64.0,64.0
68.0,547328,0.0,68.0,68.0
60.0,553424,0.0,60.0,60.0
52.0,553664,0.0,52.0,52.0
80.0,556064,0.0,80.0,80.0
68.0,557808,0.0,68.0,68.0
52.0,564000,0.0,52.0,52.0
92.0,565648,0.0,92.0,92.0
80.0,565856,0.0,80.0,80.0
28.0,566752,0.0,28.0,28.0
44.0,569296,0.0,44.0,44.0
80.0,573360,0.0,80.0,80.0
48.0,573552,0.0,48.0,48.0
32.0,574384,0.0,32.0,32.0
48.0,579952,0.0,48.0,48.0
48.0,583376,0.0,48.0,48.0
48.0,589376,0.0,48.0,48.0
48.0,596992,0.0,48.0,48.0
40.0,599024,0.0,40.0,40.0
64.0,603024,0.0,64.0,64.0
88.0,605680,0.0,88.0,88.0
44.0,610512,0.0,44.0,44.0
96.0,611840,0.0,96.0,96.0
28.0,614624,0.0,28.0,28.0
56.0,619920,0.0,56.0,56.0
100.0,621296,0.0,100.0,100.0
64.0,622960,0.0,64.0,64.0
28.0,624256,0.0,28.0,28.0
64.0,625056,0.0,64.0,64.0
144.0,626112,0.0,144.0,144.0
44.0,626400,0.0,44.0,44.0
68.0,627584,0.0,68.0,68.0
28.0,630144,0.0,28.0,28.0
40.0,632704,0.0,40.0,40.0
68.0,634960,0.0,68.0,68.0
148.0,642608,0.0,148.0,148.0
68.0,646256,0.0,68.0,68.0
44.0,646656,0.0,44.0,44.0
48.0,647888,0.0,48.0,48.0
48.0,651200,0.0,48.0,48.0
104.0,653200,0.0,104.0,104.0
88.0,655936,0.0,88.0,88.0
60.0,659728,0.0,60.0,60.0
88.0,661168,0.0,88.0,88.0
72.0,665248,0.0,72.0,72.0
80.0,665360,0.0,80.0,80.0
52.0,669920,0.0,52.0,52.0
56.0,672048,0.0,56.0,56.0
60.0,674432,0.0,60.0,60.0
56.0,676736,0.0,56.0,56.0
60.0,679664,0.0,60.0,60.0
124.0,685584,0.0,124.0,124.0
64.0,687424,0.0,64.0,64.0
108.0,693168,0.0,108.0,108.0
92.0,702896,0.0,92.0,92.0
36.0,707584,0.0,36.0,36.0
76.0,708204,0.0,76.0,76.0
56.0,708828,0.0,56.0,56.0
84.0,709952,0.0,84.0,84.0
40.0,710720,0.0,40.0,40.0
52.0,711040,0.0,52.0,52.0
72.0,715168,0.0,72.0,72.0
156.0,718748,0.0,156.0,156.0
68.0,722160,0.0,68.0,68.0
76.0,724588,0.0,76.0,76.0
116.0,726172,0.0,116.0,116.0
136.0,726528,0.0,136.0,136.0
76.0,732016,0.0,76.0,76.0
